agency,price,location,link,bedrooms,bathrooms,area
,1.45 Crore,"Income Tax Officers Colony, Multan",https://www.zameen.com/Property/multan_income_tax_officers_colony_5_marla_house_for_sale_in_nasheman_colony_at_bosan_road_multan-48663648-5751-1.html,3,4,5 Marla
Titanium,1.2 Crore,"Shalimar Colony, Multan",https://www.zameen.com/Property/multan_shalimar_colony_reserve_a_centrally_located_prime_location_house_of_5_marla_in_shalimar_colony-51441529-346-1.html,3,4,5 Marla
Titanium,1.49 Crore,"Royal Orchard - Block F, Royal Orchard",https://www.zameen.com/Property/royal_orchard_royal_orchard_-_block_f_5_marla_lavish_house_hot_location_maine_boulevard_50_feet_road_for_sale_in_royal_orchard_multan-51943471-9499-1.html,3,5,5 Marla
Titanium,4.1 Crore,"DHA Phase 1 - Sector H, DHA Phase 1",https://www.zameen.com/Property/dha_phase_1_dha_phase_1_-_sector_h_1_kanal_luxurious_spanish_bungalow_for_sale_in_dha_multan-51936603-14307-1.html,5,6,1 Kanal
Titanium,1.65 Crore,"Buch Executive Villas, Multan",https://www.zameen.com/Property/multan_buch_executive_villas_brand_new_luxury_spanish_house_available_for_sale_in_bhuch_villas-52181526-8627-1.html,4,5,5 Marla
Titanium,1.7 Crore,"Buch Executive Villas, Multan",https://www.zameen.com/Property/multan_buch_executive_villas_brand_new_luxury_modern_designer_house_available_for_sale_in_bhuch_villas-52181634-8627-1.html,4,5,5 Marla
Titanium,3.3 Crore,"Buch Executive Villas, Multan",https://www.zameen.com/Property/multan_buch_executive_villas_brand_new_luxury_spanish_house_available_for_sale_in_bhuch_villas-52181736-8627-1.html,5,6,9 Marla
Titanium,1.6 Crore,"Buch Executive Villas, Multan",https://www.zameen.com/Property/multan_buch_executive_villas_brand_new_luxury_modern_designer_house_available_for_sale_in_bhuch_villas_5_5_marla-52203671-8627-1.html,5,6,5 Marla
Titanium,4 Crore,"Royal Orchard - Block E, Royal Orchard",https://www.zameen.com/Property/royal_orchard_royal_orchard_-_block_e_10_marla_classic_style_house_available_fro_sale-51330025-9497-1.html,5,5,10 Marla
Titanium,1.69 Crore,"Buch Executive Villas - Phase 1, Buch Executive Villas",https://www.zameen.com/Property/buch_executive_villas_buch_executive_villas_-_phase_1_5_1_marla_most_beautiful_owner_built_house_for_sale_buch_executive_villas-52190000-19719-1.html,4,5,5 Marla
Titanium,3.5 Crore,"Zakariya Town, Multan",https://www.zameen.com/Property/multan_zakariya_town_1_kanal_beautiful_bungalow_zikriya_town-52223153-1518-1.html,5,4,1 Kanal
Titanium,2.1 Crore,"DHA Phase 1 - Sector U, DHA Phase 1",https://www.zameen.com/Property/dha_phase_1_dha_phase_1_-_sector_u_10_marla_gray_structure_ultra_modern_corner_extra_land_villa_available_in_sector_u_prime_location-52266139-14320-1.html,4,5,10 Marla
Titanium,3.6 Crore,"Buch Executive Villas, Multan",https://www.zameen.com/Property/multan_buch_executive_villas_10_marla_luxury_stunning_prime_location_house_is_available_for_sale_in_buch_executive_villas-52064855-8627-1.html,5,6,10 Marla
Titanium,3.7 Crore,"Buch Executive Villas, Multan",https://www.zameen.com/Property/multan_buch_executive_villas_10_marla_ultra_modren_brand_new_house_for_sale_in_buch_executive_villas_multan-52274235-8627-1.html,6,6,10 Marla
Titanium,3.38 Crore,"Buch Executive Villas, Multan",https://www.zameen.com/Property/multan_buch_executive_villas_10_marla_brand_new_luxury_double_storey_house_for_sale_in_buch_villas_near_park-52252251-8627-1.html,7,6,10 Marla
Titanium,3.5 Crore,"Serene Villas, Jinnah Avenue",https://www.zameen.com/Property/jinnah_avenue_serene_villas_9_marla_beautiful_villas_on_3_years_installments_on_prime_location_of_dha_multan-52225057-22097-1.html,5,6,9 Marla
,2.6 Crore,"Green Lane Palm Residences, Askari Bypass",https://www.zameen.com/Property/askari_bypass_green_lane_palm_residences_10_marla_brand_new_house_for_sale-49827196-12942-1.html,4,5,10 Marla
,10 Crore,"Multan Public School Road, Multan",https://www.zameen.com/Property/multan_multan_public_school_road_prime_location_house_of_2_kanal_in_multan_public_school_road_for_sale-52043983-8902-1.html,7,6,2 Kanal
,1.1 Crore,"Mumtazabad, Multan",https://www.zameen.com/Property/multan_mumtazabad_prime_location_10_marla_house_for_sale_in_mujtaba_canal_view-48718301-661-1.html,4,5,10 Marla
,44.69 Lakh,"DHA Phase 1 - Sector I, DHA Phase 1",https://www.zameen.com/Property/dha_phase_1_dha_phase_1_-_sector_i_sbd_heights_prime_location_in_dha_multan_high-res_project-52258457-14308-1.html,1,1.5 Marla,
,2.6 Crore,"Wapda Town Phase 2, Wapda Town",https://www.zameen.com/Property/wapda_town_wapda_town_phase_2_perfect_opportunity_to_make_this_house_your_home-52043736-5825-1.html,5,6,10 Marla
Titanium,6.95 Crore,"Royal Orchard - Block A, Royal Orchard",https://www.zameen.com/Property/royal_orchard_royal_orchard_-_block_a_luxurious_modern_designer_bungalow_for_sale_in_royal_orchard_multan-51937942-9494-1.html,6,6,1 Kanal
Titanium,1.4 Crore,"Royal Orchard - Block F, Royal Orchard",https://www.zameen.com/Property/royal_orchard_royal_orchard_-_block_f_5_marla_brand_new_house_for_sale_in_royal_orchard_multan-52018909-9499-1.html,3,5,5 Marla
Titanium,4.45 Crore,"DHA Phase 1 - Sector H, DHA Phase 1",https://www.zameen.com/Property/dha_phase_1_dha_phase_1_-_sector_h_1_kanal_luxurious_banglo_10kv_soler_with_net_metring_for_sale_hot_location_in_dham-52036393-14307-1.html,6,6,1 Kanal
Titanium,1.55 Crore,"Royal Orchard - Block F, Royal Orchard",https://www.zameen.com/Property/royal_orchard_royal_orchard_-_block_f_5_marla_lavish_house_for_sale_in_royal_orchard_multan-52026306-9499-1.html,3,5,5 Marla
Titanium,1.75 Crore,"Buch Executive Villas - Phase 2, Buch Executive Villas",https://www.zameen.com/Property/buch_executive_villas_buch_executive_villas_-_phase_2_5_marla_lavish_house_for_sale_in_buch_villas_multan-52139592-19720-1.html,4,5,5 Marla
